Gustave Courbet,Tintoretto,Hieronymus Bosch,Gerhard Richter,Lucio Fontana,Salvador Dali,Frida Kahlo,J. M. W. Turner,Max Ernst,Piet Mondrian,Claude Lorrain,Eugene Delacroix,Georges de La Tour,Frans Hals,Michelangelo,David Hockney,Rene Magritte,El Greco,Duccio,William Hogarth,Theodore Gericault,Raphael,Claude Monet,Egon Schiele,Andy Warhol,Caravaggio,Andrea Mantegna,Edward Hopper,Arshile Gorky,Francis Bacon (artist),Leonardo da Vinci,Wassily Kandinsky,Willem de Kooning,Georges Seurat,Marc Chagall,John Constable,James Abbott McNeill Whistler,James Ensor,Hans Memling,Hans Holbein the Younger,Georges Braque,Edvard Munch,Jean-Michel Basquiat,Rembrandt,Dante Gabriel Rossetti,Albrecht Durer,Jan van Eyck,Giorgione,Umberto Boccioni,Jacques-Louis David,Vincent van Gogh,Caspar David Friedrich,Diego Velazquez,Sandro Botticelli,Nicolas Poussin,Peter Paul Rubens,Mark Rothko,Paolo Uccello,Gustave Moreau,Johannes Vermeer,Jean-Antoine Watteau,Jean-Auguste-Dominique Ingres,Paul Gauguin,Frederic Edwin Church,Roy Lichtenstein,Artemisia Gentileschi,Francisco Goya,Marcel Duchamp,Georgia O'Keeffe,Gustav Klimt,Pieter Bruegel the Elder,Masaccio,Joan Miro,Cimabue,Simone Martini,Kazimir Malevich,Paul Cezanne,Winslow Homer,El Lissitzky,Jean-Francois Millet,Fernand Leger,Edouard Manet,Edgar Degas,Titian,Piero della Francesca,Joachim Patinir,Jasper Johns,Paul Klee,Francisco de Zurbaran,Jackson Pollock,Giotto,Rogier van der Weyden,Amedeo Modigliani,Henri Matisse,Pablo Picasso,Fra Angelico,Pierre-Auguste Renoir,Franz Marc,Jean-Baptiste-Camille Corot,William Blake,Giorgio de Chirico
1.0,0.430228,0.421235,0.551397,0.442788,0.41777,0.392985,0.463953,0.561754,0.461583,0.502938,0.808217,0.643963,0.237811,0.239517,0.361432,0.595423,0.555137,0.151339,0.433447,0.749991,0.322458,0.554586,0.530253,0.376483,0.214362,0.249231,0.588868,0.427349,0.401091,0.38768,0.543845,0.391693,0.651763,0.615299,0.472268,0.569677,0.519027,0.233579,0.365167,0.560173,0.651975,0.422184,0.208623,0.395404,0.432612,0.238136,0.408542,0.391985,0.719919,0.352164,0.602411,0.478808,0.241068,0.63009,0.386889,0.473776,0.239211,0.652998,0.359704,0.612081,0.709468,0.508243,0.162096,0.464656,0.387776,0.540637,0.530935,0.397106,0.444362,0.385538,0.120359,0.583945,0.217652,0.213783,0.326331,0.725421,0.602186,0.400085,0.761015,0.630732,0.789718,0.771791,0.379104,0.112932,0.405037,0.436136,0.559462,0.3669,0.45969,0.184777,0.270403,0.629368,0.641135,0.508225,0.204388,0.663462,0.558168,0.784953,0.49136,0.549668
0.430228,1.0,0.606445,0.509462,0.608589,0.438156,0.248308,0.579635,0.365166,0.395056,0.72693,0.601425,0.486665,0.226537,0.691177,0.485829,0.49904,0.743373,0.708127,0.597927,0.63407,0.733542,0.353882,0.542442,0.500673,0.609057,0.87169,0.526985,0.364281,0.552225,0.825694,0.466109,0.362376,0.292233,0.505559,0.591081,0.546743,0.368127,0.515638,0.441296,0.300873,0.536979,0.498038,0.320703,0.572567,0.691048,0.45475,0.92507,0.572728,0.593852,0.224548,0.585846,0.769302,0.659402,0.696864,0.612396,0.475664,0.722575,0.254809,0.486445,0.398203,0.555524,0.293213,0.362907,0.462524,0.815778,0.705242,0.376317,0.397773,0.56125,0.47893,0.666596,0.407324,0.636549,0.648799,0.277398,0.440385,0.495182,0.355923,0.330635,0.331741,0.523716,0.570492,0.976126,0.710997,0.526547,0.411703,0.392486,0.730959,0.352377,0.559602,0.362712,0.524908,0.322166,0.340537,0.711346,0.438813,0.305515,0.563978,0.655552,0.615518
0.421235,0.606445,1.0,0.529774,0.431141,0.443978,0.328017,0.399854,0.422281,0.516114,0.417395,0.498228,0.458785,0.359946,0.360182,0.423702,0.622305,0.748384,0.45624,0.466673,0.462888,0.447384,0.234787,0.515525,0.502898,0.374154,0.520824,0.572835,0.501592,0.42777,0.555925,0.547264,0.387187,0.334855,0.554778,0.428563,0.378361,0.533712,0.720002,0.594187,0.396431,0.56235,0.503282,0.322166,0.442378,0.741272,0.844402,0.673334,0.376103,0.499708,0.543784,0.553321,0.65964,0.382068,0.408525,0.683024,0.439086,0.372265,0.228285,0.667899,0.289122,0.375806,0.422319,0.290138,0.484782,0.545168,0.619946,0.422918,0.439782,0.453989,0.709817,0.365668,0.5392,0.334744,0.280567,0.325046,0.463845,0.547808,0.462399,0.21873,0.405467,0.448205,0.555712,0.598307,0.381215,0.772081,0.487117,0.454358,0.585981,0.404429,0.266911,0.769954,0.493348,0.389616,0.426224,0.383155,0.348209,0.37708,0.454008,0.615228,0.462702
0.551397,0.509462,0.529774,1.0,0.674788,0.566215,0.325124,0.559549,0.783522,0.792348,0.411285,0.510248,0.414764,0.188419,0.357297,0.657074,0.733807,0.611736,0.342831,0.518568,0.50601,0.39985,0.288162,0.717116,0.689314,0.254868,0.405333,0.716369,0.632453,0.486612,0.480599,0.842235,0.59808,0.506608,0.76007,0.515916,0.537401,0.541839,0.320817,0.372877,0.521829,0.804459,0.651476,0.250743,0.443183,0.700345,0.318194,0.527108,0.486373,0.503525,0.340623,0.765107,0.43443,0.340059,0.46156,0.372202,0.747574,0.279064,0.269169,0.483462,0.287749,0.311837,0.490643,0.348216,0.761992,0.377205,0.602858,0.611358,0.555395,0.679744,0.433026,0.270935,0.680139,0.274696,0.241378,0.500235,0.563404,0.608825,0.65841,0.292473,0.670367,0.475594,0.574085,0.461926,0.242471,0.460495,0.736425,0.890425,0.427378,0.643573,0.25935,0.29381,0.50988,0.510871,0.506505,0.306428,0.423665,0.799481,0.490395,0.636123,0.526131
0.442788,0.608589,0.431141,0.674788,1.0,0.622622,0.30476,0.528934,0.651194,0.632101,0.586257,0.459734,0.522421,0.199715,0.365301,0.688901,0.699654,0.638283,0.429502,0.449637,0.503178,0.416101,0.310851,0.548919,0.685937,0.39368,0.530041,0.612606,0.621612,0.457917,0.526785,0.612796,0.645978,0.488544,0.622565,0.457001,0.407459,0.554379,0.235184,0.144121,0.58628,0.522807,0.648815,0.18904,0.464876,0.396229,0.231058,0.575356,0.835202,0.470141,0.274402,0.414002,0.520585,0.415901,0.618964,0.37192,0.661888,0.41623,0.390162,0.405549,0.334917,0.402415,0.453637,0.248417,0.785236,0.620757,0.552091,0.670855,0.555825,0.5474,0.334823,0.322427,0.764725,0.370013,0.381917,0.486636,0.518378,0.461914,0.580227,0.311185,0.674132,0.438906,0.57001,0.584206,0.406512,0.365937,0.717868,0.565691,0.540438,0.621858,0.264358,0.234336,0.544633,0.559912,0.574059,0.33657,0.411615,0.427586,0.47687,0.489973,0.728423
0.41777,0.438156,0.443978,0.566215,0.622622,1.0,0.492363,0.379185,0.771984,0.43112,0.295112,0.461906,0.461577,0.128628,0.279092,0.648834,0.805372,0.696104,0.188914,0.571074,0.489704,0.334535,0.142297,0.628039,0.809058,0.371447,0.232915,0.559829,0.434438,0.529636,0.418346,0.504107,0.393072,0.253906,0.758902,0.331691,0.444463,0.561767,0.151563,0.372011,0.662992,0.590584,0.787503,0.171132,0.547346,0.460321,0.24617,0.376796,0.60575,0.53556,0.244358,0.417178,0.587659,0.267146,0.484721,0.35115,0.401209,0.193169,0.34375,0.338766,0.197167,0.456672,0.486728,0.0861424,0.696511,0.55087,0.757442,0.731555,0.509426,0.595692,0.351197,0.121684,0.835442,0.166345,0.154275,0.426537,0.462039,0.451702,0.597835,0.314606,0.665655,0.378483,0.543207,0.428784,0.160625,0.282803,0.652795,0.498283,0.4919,0.328362,0.126126,0.199856,0.681564,0.65818,0.870609,0.18072,0.311498,0.411844,0.325935,0.665625,0.749143
0.392985,0.248308,0.328017,0.325124,0.30476,0.492363,1.0,0.226923,0.424899,0.246148,0.095371,0.308705,0.319005,0.0750876,0.230305,0.2588,0.316518,0.606016,0.0880095,0.288026,0.268148,0.246366,0.0854396,0.303267,0.250498,0.203375,0.11908,0.361621,0.324646,0.524772,0.282523,0.172285,0.261662,0.105644,0.4368,0.123907,0.20994,0.359979,0.125579,0.350726,0.275243,0.414186,0.297275,0.220459,0.322335,0.279501,0.159059,0.202919,0.242844,0.445637,0.279006,0.29595,0.449303,0.26104,0.112929,0.209785,0.39062,0.269341,0.140172,0.143216,-0.0276048,0.357649,0.375075,0.0268269,0.305265,0.373611,0.582894,0.15958,0.483412,0.235268,0.240082,0.188002,0.513556,0.195889,0.148515,0.17323,0.302686,0.26248,0.317086,0.140613,0.271874,0.350808,0.423357,0.246935,0.165785,0.193349,0.25146,0.241175,0.486121,0.406246,0.188413,0.149066,0.535226,0.287706,0.508884,0.230174,0.23651,0.198798,0.20804,0.335259,0.401213
0.463953,0.579635,0.399854,0.559549,0.528934,0.379185,0.226923,1.0,0.415427,0.428663,0.664514,0.552177,0.37489,0.194807,0.257944,0.725383,0.455958,0.427545,0.337358,0.848111,0.565658,0.338728,0.480206,0.50436,0.497244,0.294278,0.438307,0.63679,0.482963,0.652046,0.442985,0.495549,0.45952,0.377241,0.458548,0.921699,0.738477,0.425439,0.30017,0.402905,0.23368,0.519041,0.493204,0.216077,0.758964,0.47208,0.26211,0.569408,0.409592,0.539044,0.29842,0.561849,0.599506,0.332963,0.497677,0.445352,0.512914,0.314537,0.24451,0.352568,0.365186,0.386448,0.38841,0.324828,0.595697,0.495406,0.498909,0.313926,0.511002,0.44064,0.374783,0.260823,0.403791,0.275745,0.274737,0.311745,0.483263,0.562073,0.333254,0.361836,0.32943,0.478719,0.539318,0.573382,0.230052,0.423102,0.534168,0.413856,0.474679,0.461666,0.201575,0.235427,0.389829,0.338509,0.25669,0.279265,0.501977,0.413022,0.551072,0.738938,0.39692
0.561754,0.365166,0.422281,0.783522,0.651194,0.771984,0.424899,0.415427,1.0,0.588644,0.287999,0.468699,0.481899,0.149197,0.241353,0.630773,0.837181,0.576777,0.217134,0.47227,0.486726,0.317768,0.236365,0.678909,0.74223,0.272977,0.250053,0.648524,0.651539,0.54286,0.397622,0.663949,0.610057,0.4856,0.780975,0.377393,0.51589,0.699734,0.209229,0.419352,0.717783,0.762663,0.74324,0.162392,0.483873,0.570526,0.232754,0.343988,0.634455,0.513978,0.347188,0.560841,0.380596,0.281682,0.502799,0.325464,0.608975,0.208768,0.45532,0.415881,0.110587,0.379522,0.590639,0.0762691,0.746948,0.430538,0.605694,0.784237,0.578562,0.537969,0.320823,0.145475,0.800734,0.193673,0.20629,0.502946,0.610415,0.507027,0.645425,0.431595,0.797837,0.503171,0.588043,0.349907,0.187264,0.320266,0.731169,0.831015,0.376674,0.543086,0.159856,0.25835,0.72812,0.737584,0.78424,0.199729,0.400738,0.784703,0.422701,0.582524,0.751496
0.461583,0.395056,0.516114,0.792348,0.632101,0.43112,0.246148,0.428663,0.588644,1.0,0.301527,0.475054,0.276417,0.210392,0.319967,0.442419,0.621847,0.568547,0.241234,0.348925,0.472591,0.334437,0.3522,0.478974,0.538547,0.180888,0.274917,0.608206,0.723449,0.375224,0.423557,0.876067,0.673761,0.63856,0.653069,0.408043,0.420765,0.327818,0.164152,0.206156,0.622152,0.608844,0.570784,0.217347,0.406631,0.429487,0.329086,0.415974,0.522501,0.40132,0.508332,0.566185,0.311035,0.334295,0.368557,0.20593,0.831065,0.26343,0.233518,0.545775,0.311476,0.334587,0.620747,0.321831,0.622231,0.290934,0.466309,0.589336,0.514083,0.406447,0.223913,0.261209,0.667971,0.258205,0.175831,0.449593,0.65941,0.473343,0.569593,0.305393,0.691195,0.479302,0.582818,0.344289,0.201235,0.276709,0.628281,0.740749,0.271734,0.742672,0.229544,0.257926,0.453652,0.567659,0.483725,0.24103,0.421844,0.569973,0.554094,0.521998,0.495327
